Nome,Ano nasc,Ano morte,Cidade nasc,Região nasc,Cidade morte,Região morte
Mauro (abate),512,584,Roma,Lazio,Angers,EXTERIOR - França
Mauro di Verona,DESCONHECIDO,622,Verona,Veneto,Verona,Veneto
Onorato (arcivescovo di Milano),DESCONHECIDO,572,Milano,Lombardia,Genova,Liguria
Onorato di Fondi,DESCONHECIDO,530,Sannio,Molise,Fondi,Lazio
Onorio di Brescia,DESCONHECIDO,DESCONHECIDO,Brescia,Lombardia,Brescia,Lombardia
Placido (monaco),515,541,Roma,Lazio,Messina,Sicilia
Potamione di Agrigento,DESCONHECIDO,DESCONHECIDO,Agrigento,Sicilia,Agrigento,Sicilia
Romano di Subiaco,DESCONHECIDO,550,Subiaco,Lazio,DESCONHECIDO,DESCONHECIDO
Sabino di Avellino,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Avellino,Campania
Santulo,DESCONHECIDO,600,Norcia,Umbria,Norcia,Umbria
Scolastica da Norcia,480,547,Norcia,Umbria,Villa Santa Lucia,Lazio
Severino di Settempeda,470,545,DESCONHECIDO,DESCONHECIDO,San Severino Marche,Marche
Papa Silverio,480,537,Frosinone,Lazio,Ponza,Lazio
Venanzio di Luni,DESCONHECIDO,603,Luni,Liguria,Fabriano,Marche
Vittore di Capua,DESCONHECIDO,554,Capua,Campania,Capua,Campania
Vittore di Fausania,DESCONHECIDO,601,Olbia,Sardegna,Olbia,Sardegna
Vittorino da Pioraco,DESCONHECIDO,538,Pioraco,Marche,Pioraco,Marche
Adalberto di Como,DESCONHECIDO,DESCONHECIDO,Iliria,EXTERIOR - atual Albânia,Como,Lombardia
Papa Adeodato I,DESCONHECIDO,618,Roma,Lazio,Roma,Lazio
Papa Agatone,575,681,Palermo,Sicilia,Roma,Lazio
Allo di Bobbio,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Bobbio,Emilia-Romagna
Ampelio di Milano,DESCONHECIDO,672,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Antonino di Milano,DESCONHECIDO,661,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Antonino di Sorrento,DESCONHECIDO,625,Campagna,Campania,Sorrento,Campania
Bacolo di Sorrento,DESCONHECIDO,660,Napoli,Campania,Sorrento,Campania
Barbato di Benevento,602,683,Castelvenere,Campania,Benevento,Campania
Papa Benedetto II,635,685,Roma,Lazio,Roma,Lazio
Papa Bonifacio IV,550,615,L'Aquila,Abruzzo,Roma,Lazio
Costanzo di Capri,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Capri,Campania
Papa Eugenio I,DESCONHECIDO,657,Roma,Lazio,Roma,Lazio
Floriano di Oderzo,DESCONHECIDO,DESCONHECIDO,Oderzo,Veneto,Oderzo,Veneto
San Giovanni vescovo (Bergamo),DESCONHECIDO,688,DESCONHECIDO,DESCONHECIDO,Bergamo,Lombardia
Giovanni il Buono (santo),DESCONHECIDO,651,Recco,Liguria,Milano,Lombardia
Giusto di Canterbury,DESCONHECIDO,627,Roma,Lazio,Canterbury,EXTERIOR - Inglaterra
Gregorio II di Agrigento,559,630,Agrigento,Sicilia,Agrigento,Sicilia
Ingenuino di Sabiona,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Chiusa,Trentino-Alto Adige/Südtirol
Papa Leone II,611,683,Nicosia,Sicilia,Roma,Lazio
Magno di Oderzo,580,670,Quarto d'Altino,Veneto,Oderzo,Veneto
Papa Martino I,600,655,Todi,Umbria,Cherson,EXTERIOR - Ucrânia
Maurisilio di Milano,DESCONHECIDO,662,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Onorio di Canterbury,DESCONHECIDO,653,Roma,Lazio,Canterbury,EXTERIOR - Inglaterra
Panfilo di Sulmona,650,700,DESCONHECIDO,DESCONHECIDO,Corfinio,Abruzzo
Paterio di Brescia,DESCONHECIDO,606,Brescia,Lombardia,DESCONHECIDO,DESCONHECIDO
Pelino di Brindisi,620,662,Durazzo,EXTERIOR - atual Albânia,Corfinio,Abruzzo
Mansueto Savelli,DESCONHECIDO,681,Roma,Lazio,Milano,Lombardia
Santa Trofimena,DESCONHECIDO,640,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO
Venerio (eremita),560,630,Portovenere,Liguria,Portovenere,Liguria
Papa Vitaliano,DESCONHECIDO,672,Segni,Lazio,Roma,Lazio
Vitaliano da Capua,DESCONHECIDO,699,Capua,Campania,Mercogliano,Campania
Annone di Verona,DESCONHECIDO,780,Verona,Veneto,DESCONHECIDO,DESCONHECIDO
Benedetto I di Milano,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia,Milano,Lombardia
Aimo e Vermondo Corio,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Meda,Lombardia
Damiano di Pavia,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Pavia,Lombardia
Eugenio di Milano,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Girolamo di Pavia,DESCONHECIDO,770,DESCONHECIDO,DESCONHECIDO,Pavia,Lombardia
Papa Gregorio II,669,731,Roma,Lazio,Roma,Lazio
Papa Leone III,750,816,Roma,Lazio,Roma,Lazio
Leone II il Taumaturgo,709,745,Ravenna,Emilia-Romagna,Catania,Sicilia
Natale di Milano,669,741,Milano,Lombardia,Milano,Lombardia
Papa Paolo I,700,767,Roma,Lazio,Roma,Lazio
Petronace di Montecassino,670,747,Brescia,Lombardia,Montecassino,Lazio
Sabino di Catania,DESCONHECIDO,760,Catania,Sicilia,Catania,Sicilia
San Baudolino,712,744,Alessandria,Piemonte,Alessandria,Piemonte
Sant'Aldo,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO
Papa Sergio I,650,701,Palermo,Sicilia,Roma,Lazio
Teodoro di Pavia,DESCONHECIDO,778,Pavia,Lombardia,Pavia,Lombardia
Terenzio di Luni,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Luni,Liguria
