Name,Sex,Birthplace,Birthplace_UF,Year,City,Sport,Event,Medal
Ricardo Prado,M,Andradina,São Paulo,1984,Los Angeles,Swimming,Swimming Men's 400 metres Individual Medley,Silver
"Delma ""Pretinha"" Gonçalves",F,Rio de Janeiro,Rio de Janeiro,2004,Athina,Football,Football Women's Football,Silver
"Delma ""Pretinha"" Gonçalves",F,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Football,Football Women's Football,Silver
Nelson Prudêncio,M,Lins,São Paulo,1968,Mexico City,Athletics,Athletics Men's Triple Jump,Silver
Nelson Prudêncio,M,Lins,São Paulo,1972,Munich,Athletics,Athletics Men's Triple Jump,Bronze
Ketleyn Lima Quadros,F,Ceilândia,Distrito Federal,2008,Beijing,Judo,Judo Women's Lightweight,Bronze
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Bronze
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Isaquias Queiroz dos Santos,M,Ubaitaba,Bahia,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Rafael Pereira da Silva,M,Petrópolis,Rio de Janeiro,2012,London,Football,Football Men's Football,Silver
"Márcio Rafael ""Rafinha"" Ferreira de Souza",M,Londrina,Paraná,2008,Beijing,Football,Football Men's Football,Bronze
Rafael Alcântara do Nascimento,M,São Paulo,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Ramires Santos do Nascimento,M,Barra do Piraí,Rio de Janeiro,2008,Beijing,Football,Football Men's Football,Bronze
Raquel Peluci Xavier Camargo da Silva,F,Rio de Janeiro,Rio de Janeiro,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
Renan dal Zotto,M,São Leopoldo,Rio Grande do Sul,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Renan Brito Soares,M,Viamão,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Renato Soares de Oliveira Augusto,M,Rio de Janeiro,Rio de Janeiro,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Edson Luciano Ribeiro,M,Bandeirantes,Paraná,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Edson Luciano Ribeiro,M,Bandeirantes,Paraná,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Ricarda Raquel Barbosa Lima,F,Taguatinga,Distrito Federal,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
"Ricardo ""Ricardinho"" Bermudez Garcia",M,São Paulo,São Paulo,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
"Ricardo ""Ricardinho"" Bermudez Garcia",M,São Paulo,São Paulo,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Rivaldo Victor Borba Ferreira,M,Paulista,Pernambuco,1996,Atlanta,Football,Football Men's Football,Bronze
Roberto Carlos da Silva,M,Garça,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
"Rodrigo ""Rodrigão"" Santana",M,São Paulo,São Paulo,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
"Rodrigo ""Rodrigão"" Santana",M,São Paulo,São Paulo,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
"Rodrigo ""Rodrigão"" Santana",M,São Paulo,São Paulo,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Rodrigo Caio Coquette Russo,M,Dracena,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
