Name,Sex,Birthplace,Birthplace_UF,Year,City,Sport,Event,Medal
Ademir Roque Kaefer,M,Toledo,Paraná,1984,Los Angeles,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,Toledo,Paraná,1988,Seoul,Football,Football Men's Football,Silver
Adenízia Aparecida Ferreira da Silva,F,Ibiaí,Minas Gerais,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Daniel Adler,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
Adriana Aparecida dos Santos,F,São Bernardo do Campo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Adriana Aparecida dos Santos,F,São Bernardo do Campo,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Adriana ""Adrianinha"" Moisés Pinto",F,Franca,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Aldair Santos do Nascimento,M,Ilhéus,Bahia,1996,Atlanta,Football,Football Men's Football,Bronze
Alessandra dos Santos de Oliveira,F,São Paulo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Alessandra dos Santos de Oliveira,F,São Paulo,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Alex Sandro Lobo Silva,M,Catanduva,São Paulo,2012,London,Football,Football Men's Football,Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,Pato Branco,Paraná,2008,Beijing,Football,Football Men's Football,Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,Pato Branco,Paraná,2012,London,Football,Football Men's Football,Silver
"Zenny ""Algodão"" de Azevedo",M,Rio de Janeiro,Rio de Janeiro,1948,London,Basketball,Basketball Men's Basketball,Bronze
"Zenny ""Algodão"" de Azevedo",M,Rio de Janeiro,Rio de Janeiro,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Aline Pellegrino,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Aloísio Pires Alves,M,Pelotas,Rio Grande do Sul,1988,Seoul,Football,Football Men's Football,Silver
Thiago Soares Alves,M,Porto Alegre,Rio Grande do Sul,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
"Alexandre ""Amaral"" da Silva Mariano",M,Capivari,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
Amauri Ribeiro,M,São Paulo,São Paulo,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Amauri Ribeiro,M,São Paulo,São Paulo,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Amaury Antônio Pasos,M,São Paulo,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Amaury Antônio Pasos,M,São Paulo,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Ana Flávia Chritaro Daniel Sanglard,F,Belo Horizonte,Minas Gerais,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,Lavras,Minas Gerais,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Anderson Luís de Abreu Oliveira,M,Porto Alegre,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Anderson de Oliveira Rodrigues,M,Belo Horizonte,Minas Gerais,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
Anderson de Oliveira Rodrigues,M,Belo Horizonte,Minas Gerais,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Jorge Luís Andrade da Silva,M,Juiz de Fora,Minas Gerais,1988,Seoul,Football,Football Men's Football,Silver
André Luiz Moreira,M,São Paulo,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
André Luís dos Santos Ferreira,M,Porto Alegre,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
Andréia Suntaque,F,Nova Cantu,Paraná,2004,Athina,Football,Football Women's Football,Silver
Andréia Suntaque,F,Nova Cantu,Paraná,2008,Beijing,Football,Football Women's Football,Silver
Adriana dos Santos Araújo,F,Salvador,Bahia,2012,London,Boxing,Boxing Women's Lightweight,Bronze
William Peixoto Arjona,M,São Paulo,São Paulo,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
"Antônio Carlos ""Badalhoca"" Gueiros Ribeiro",M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Bárbara Micheline do Monte Barbosa,F,Recife,Pernambuco,2008,Beijing,Football,Football Women's Football,Silver
Dario Barbosa,M,Porto Alegre,Rio Grande do Sul,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
João Batista Viana Santos,M,Uberlândia,Minas Gerais,1988,Seoul,Football,Football Men's Football,Silver
"José Roberto ""Bebeto"" Gama de Oliveira",M,Salvador,Bahia,1988,Seoul,Football,Football Men's Football,Silver
"José Roberto ""Bebeto"" Gama de Oliveira",M,Salvador,Bahia,1996,Atlanta,Football,Football Men's Football,Bronze
Bernard Rajzman,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
"Bernardo ""Bernardinho"" Rocha de Rezende",M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
"Ubiratan ""Bira"" Pereira Maciel",M,São Paulo,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Lars Sigurd Bjorkstrom,M,Gotemburgo,Exterior,1980,Moskva,Sailing,Sailing Mixed Multihull,Gold
Moysés Blás,M,Belo Horizonte,Minas Gerais,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Waldemar Blatskauskas,M,São Paulo,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Waldyr Geraldo Boccardo,M,São Manuel,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Gustavo França Borges,M,Ituverava,São Paulo,1992,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,Silver
Gustavo França Borges,M,Ituverava,São Paulo,1996,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Gustavo França Borges,M,Ituverava,São Paulo,1996,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,Silver
Gustavo França Borges,M,Ituverava,São Paulo,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Maurício Borges Almeida Silva,M,Maceió,Alagoas,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
"Maria Angélica ""Branca"" Gonçalves da Silva",F,Osvaldo Cruz,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
João Francisco Bráz,M,São Paulo,São Paulo,1948,London,Basketball,Basketball Men's Basketball,Bronze
Thiago Braz da Silva,M,Marília,São Paulo,2016,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Gold
Breno Vinicius Rodrigues Borges,M,Cruzeiro,São Paulo,2008,Beijing,Football,Football Men's Football,Bronze
"Bruno ""Bruninho"" Mossa de Rezende",M,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
"Bruno ""Bruninho"" Mossa de Rezende",M,Rio de Janeiro,Rio de Janeiro,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
"Bruno ""Bruninho"" Mossa de Rezende",M,Rio de Janeiro,Rio de Janeiro,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Tiago Henrique de Oliveira Camilo,M,Tupã,São Paulo,2000,Sydney,Judo,Judo Men's Lightweight,Silver
Tiago Henrique de Oliveira Camilo,M,Tupã,São Paulo,2008,Beijing,Judo,Judo Men's Half-Middleweight,Bronze
Flávio Vianna De Ulhôa Canto,M,Oxford,Exterior,2004,Athina,Judo,Judo Men's Half-Middleweight,Bronze
Rogério Sampaio Cardoso,M,Santos,São Paulo,1992,Barcelona,Judo,Judo Men's Half-Lightweight,Gold
"Hamilton ""Careca"" de Souza",M,Passos,Minas Gerais,1988,Seoul,Football,Football Men's Football,Silver
"Antônio Carlos ""Carlo"" Aguilar Gouveia",M,Rio Branco,Acre,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Walter Carmona,M,São Paulo,São Paulo,1984,Los Angeles,Judo,Judo Men's Middleweight,Bronze
"Carolina ""Carol"" Demartini de Albuquerque",F,Porto Alegre,Rio Grande do Sul,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
"Francisco Carlos ""Chico"" Martins Vidal",M,Rio Brilhante,Mato Grosso do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
César Augusto Cielo Filho,M,Santa Bárbara d'Oeste,São Paulo,2008,Beijing,Swimming,Swimming Men's 50 metres Freestyle,Gold
César Augusto Cielo Filho,M,Santa Bárbara d'Oeste,São Paulo,2008,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Bronze
César Augusto Cielo Filho,M,Santa Bárbara d'Oeste,São Paulo,2012,London,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Cíntia Silva dos Santos,F,Mauá,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Cíntia Silva dos Santos,F,Mauá,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Cláudia Maria Pastor,F,Barão de Cocais,Minas Gerais,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
"Cláudia Maria ""Claudinha"" das Neves",F,Guarujá,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Flávio da Conceição,M,Santa Maria da Serra,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
Robson Donato Conceição,M,Salvador,Bahia,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,Gold
Reinaldo Conrad,M,São Paulo,São Paulo,1968,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Reinaldo Conrad,M,São Paulo,São Paulo,1976,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Burkhard Cordes,M,Darmstadt,Exterior,1968,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Cristiane Rozeira de Souza Silva,F,Osasco,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Cristiane Rozeira de Souza Silva,F,Osasco,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
André Alves da Cruz,M,Piracicaba,São Paulo,1988,Seoul,Football,Football Men's Football,Silver
Joaquim Carvalho Cruz,M,Taguatinga,Distrito Federal,1984,Los Angeles,Athletics,Athletics Men's 800 metres,Gold
Joaquim Carvalho Cruz,M,Taguatinga,Distrito Federal,1988,Seoul,Athletics,Athletics Men's 800 metres,Silver
Milton Cruz,M,Cubatão,São Paulo,1984,Los Angeles,Football,Football Men's Football,Silver
José Telles da Conceição,M,Rio de Janeiro,Rio de Janeiro,1952,Helsinki,Athletics,Athletics Men's High Jump,Bronze
Afrânio Antônio da Costa,M,Macaé,Rio de Janeiro,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
Afrânio Antônio da Costa,M,Macaé,Rio de Janeiro,1920,Antwerpen,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Bronze
Alfredo Rodrigues da Motta,M,Rio de Janeiro,Rio de Janeiro,1948,London,Basketball,Basketball Men's Basketball,Bronze
Adhemar Ferreira da Silva,M,São Paulo,São Paulo,1952,Helsinki,Athletics,Athletics Men's Triple Jump,Gold
Adhemar Ferreira da Silva,M,São Paulo,São Paulo,1956,Melbourne,Athletics,Athletics Men's Triple Jump,Gold
André Domingos da Silva,M,Santo André,São Paulo,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
André Domingos da Silva,M,Santo André,São Paulo,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Arnaldo de Oliveira da Silva,M,Rio de Janeiro,Rio de Janeiro,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Claudinei Quirino da Silva,M,Lençóis Paulista,São Paulo,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Mayra Aguiar da Silva,F,Porto Alegre,Rio Grande do Sul,2012,London,Judo,Judo Women's Half-Heavyweight,Bronze
Mayra Aguiar da Silva,F,Porto Alegre,Rio Grande do Sul,2016,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,Bronze
Rafael Carlos da Silva,M,Campo Grande,Mato Grosso do Sul,2012,London,Judo,Judo Men's Heavyweight,Bronze
Rafael Carlos da Silva,M,Campo Grande,Mato Grosso do Sul,2016,Rio de Janeiro,Judo,Judo Men's Heavyweight,Bronze
Robson Caetano da Silva,M,Rio de Janeiro,Rio de Janeiro,1988,Seoul,Athletics,Athletics Men's 200 metres,Bronze
Robson Caetano da Silva,M,Rio de Janeiro,Rio de Janeiro,1996,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Leandro Damião da Silva dos Santos,M,Jardim Alegre,Paraná,2012,London,Football,Football Men's Football,Silver
Daniela Alves Lima,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Daniela Alves Lima,F,São Paulo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
Danilo Luiz da Silva,M,Bicas,Minas Gerais,2012,London,Football,Football Men's Football,Silver
Dante Guimarães Santos do Amaral,M,Itumbiara,Goiás,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
Dante Guimarães Santos do Amaral,M,Itumbiara,Goiás,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Dante Guimarães Santos do Amaral,M,Itumbiara,Goiás,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
"David ""Davi"" Cortes da Silva",M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Football,Football Men's Football,Silver
Luiz Felipe Cortizo Gonçalves de Azevedo,M,Rio de Janeiro,Rio de Janeiro,1996,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Luiz Felipe Cortizo Gonçalves de Azevedo,M,Rio de Janeiro,Rio de Janeiro,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Bruno Lins Tenório de Barros,M,Maceió,Alagoas,2008,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Ruy de Freitas,M,Macaé,Rio de Janeiro,1948,London,Basketball,Basketball Men's Basketball,Bronze
Vanderlei Cordeiro de Lima,M,Cruzeiro do Oeste,Paraná,2004,Athina,Athletics,Athletics Men's Marathon,Bronze
Vicente Lenílson de Lima,M,Currais Novos,Rio Grande do Norte,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Vicente Lenílson de Lima,M,Currais Novos,Rio Grande do Norte,2008,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
João Carlos de Oliveira,M,Pindamonhangaba,São Paulo,1976,Montreal,Athletics,Athletics Men's Triple Jump,Bronze
João Carlos de Oliveira,M,Pindamonhangaba,São Paulo,1980,Moskva,Athletics,Athletics Men's Triple Jump,Bronze
Servílio Sebastião de Oliveira,M,São Paulo,São Paulo,1968,Mexico City,Boxing,Boxing Men's Flyweight,Bronze
Cyro Marques Delgado,M,União da Vitória,Paraná,1980,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Marcus Vinícius Dias,M,Rio de Janeiro,Rio de Janeiro,1948,London,Basketball,Basketball Men's Basketball,Bronze
"Nelson de Jesus ""Dida"" Silva",M,Irará,Bahia,1996,Atlanta,Football,Football Men's Football,Bronze
Diego Ribas da Cunha,M,Ribeirão Preto,São Paulo,2008,Beijing,Football,Football Men's Football,Bronze
"Alvaro Affonso ""Doda"" de Miranda Neto",M,São Paulo,São Paulo,1996,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
"Alvaro Affonso ""Doda"" de Miranda Neto",M,São Paulo,São Paulo,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
"Domingos ""Domingos Maracanã"" Lampariello Neto",M,São Paulo,São Paulo,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Manoel dos Santos Júnior,M,Guararapes,São Paulo,1960,Roma,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Douglas Chiarotti,M,Santo André,São Paulo,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Douglas dos Santos Justino de Melo,M,João Pessoa,Paraíba,2016,Rio de Janeiro,Football,Football Men's Football,Gold
"Carlos Caetano ""Dunga"" Bledorn Verri",M,Ijuí,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
Éder Francis Carbonera,M,Farroupilha,Rio Grande do Sul,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Edmar Bernardes dos Santos,M,Araxá,Minas Gerais,1988,Seoul,Football,Football Men's Football,Silver
"Edson ""Edson Bispo"" Bispo dos Santos",M,Rio de Janeiro,Rio de Janeiro,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
"Edson ""Edson Bispo"" Bispo dos Santos",M,Rio de Janeiro,Rio de Janeiro,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Elaine Estrela Moura,F,Salvador,Bahia,2004,Athina,Football,Football Women's Football,Silver
Elisângela Almeida de Oliveira,F,Londrina,Paraná,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
Érika Cristiano dos Santos,F,São Paulo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
"Sérgio ""Escadinha"" Dutra dos Santos",M,Diamante do Norte,Paraná,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
"Sérgio ""Escadinha"" Dutra dos Santos",M,Diamante do Norte,Paraná,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
"Sérgio ""Escadinha"" Dutra dos Santos",M,Diamante do Norte,Paraná,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
"Sérgio ""Escadinha"" Dutra dos Santos",M,Diamante do Norte,Paraná,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Ester Aperecida dos Santos,F,São Paulo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
Affonso de Azevedo Évora,M,Rio de Janeiro,Rio de Janeiro,1948,London,Basketball,Basketball Men's Basketball,Bronze
"Fabiana ""Fabi"" Alvim de Oliveira",F,Rio de Janeiro,Rio de Janeiro,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
"Fabiana ""Fabi"" Alvim de Oliveira",F,Rio de Janeiro,Rio de Janeiro,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Fabiana da Silva Simões,F,Salvador,Bahia,2008,Beijing,Football,Football Women's Football,Silver
Fabiana Marcelino Claudino,F,Santa Luzia,Minas Gerais,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Fabiana Marcelino Claudino,F,Santa Luzia,Minas Gerais,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Natália Falavigna Silva,F,Maringá,Paraná,2008,Beijing,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Nelson Falcão,M,Rio de Janeiro,Rio de Janeiro,1988,Seoul,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Yamaguchi Falcão Florentino,M,São Mateus,Espírito Santo,2012,London,Boxing,Boxing Men's Light-Heavyweight,Bronze
Felipe Anderson Pereira Gomes,M,Brasília,Distrito Federal,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Fernanda Porto Venturini,F,Araraquara,São Paulo,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
"Fernando ""Fernandão"" Roscio de Ávila",M,São Paulo,São Paulo,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
"Fernanda ""Fernandinha"" Ferreira",F,Rio de Janeiro,Rio de Janeiro,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
"Fernando ""Fernando Brobró"" Pereira de Freitas",M,Niterói,Rio de Janeiro,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Marcelo Bastos Ferreira,M,Niterói,Rio de Janeiro,1996,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Gold
Marcelo Bastos Ferreira,M,Niterói,Rio de Janeiro,2000,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Marcelo Bastos Ferreira,M,Niterói,Rio de Janeiro,2004,Athina,Sailing,Sailing Men's Two Person Keelboat,Gold
Peter Ficker,M,São Paulo,São Paulo,1976,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
"Ericléia ""Filó"" Bodziak",F,Curitiba,Paraná,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Esquiva Falcão Florentino,M,Vitória,Espírito Santo,2012,London,Boxing,Boxing Men's Middleweight,Silver
"Hélia ""Fofão"" Rogério de Souza Pinto",F,São Paulo,São Paulo,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
"Hélia ""Fofão"" Rogério de Souza Pinto",F,São Paulo,São Paulo,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
"Hélia ""Fofão"" Rogério de Souza Pinto",F,São Paulo,São Paulo,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
"Miraildes ""Formiga"" Maciel Mota",F,Salvador,Bahia,2004,Athina,Football,Football Women's Football,Silver
"Miraildes ""Formiga"" Maciel Mota",F,Salvador,Bahia,2008,Beijing,Football,Football Women's Football,Silver
Francielle Manoel Alberto,F,São Paulo,São Paulo,2008,Beijing,Football,Football Women's Football,Silver
Clinio Freitas,M,Niterói,Rio de Janeiro,1988,Seoul,Sailing,Sailing Mixed Multihull,Bronze
"Friedrich Wilhelm ""Fritz"" Braun",M,Rio de Janeiro,Rio de Janeiro,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Gabriel Vasconcellos Ferreira,M,Unaí,Minas Gerais,2012,London,Football,Football Men's Football,Silver
Gabriel Barbosa Almeida,M,São Bernardo do Campo,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Gabriel Fernando de Jesus,M,São Paulo,São Paulo,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Mauro Geraldo Galvão,M,Porto Alegre,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
"Paulo Henrique ""Ganso"" de Chagas Lima",M,Ananindeua,Pará,2012,London,Football,Football Men's Football,Silver
Fernanda Garay Rodrigues,F,Porto Alegre,Rio Grande do Sul,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Alexandre Gemignani Ferreira,M,São Paulo,São Paulo,1948,London,Basketball,Basketball Men's Basketball,Bronze
Geovani Faria da Silva,M,Vitória,Espírito Santo,1988,Seoul,Football,Football Men's Football,Silver
"Gilberto Amauri ""Giba"" de Godoy Filho",M,Londrina,Paraná,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
"Gilberto Amauri ""Giba"" de Godoy Filho",M,Londrina,Paraná,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
"Gilberto Amauri ""Giba"" de Godoy Filho",M,Londrina,Paraná,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
Gilmar Luís Rinaldi,M,Erechim,Rio Grande do Sul,1984,Los Angeles,Football,Football Men's Football,Silver
"Augilmar ""Gilmar Popoca"" Silva de Oliveira",M,Manaus,Amazonas,1984,Los Angeles,Football,Football Men's Football,Silver
Giovane Farinazzo Gávio,M,Juiz de Fora,Minas Gerais,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Giovane Farinazzo Gávio,M,Juiz de Fora,Minas Gerais,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
Lars Schmidt Grael,M,São Paulo,São Paulo,1988,Seoul,Sailing,Sailing Mixed Multihull,Bronze
Lars Schmidt Grael,M,São Paulo,São Paulo,1996,Atlanta,Sailing,Sailing Mixed Multihull,Bronze
Martine Soffiatti Grael,F,Niterói,Rio de Janeiro,2016,Rio de Janeiro,Sailing,Sailing Women's Skiff,Gold
Torben Schmidt Grael,M,São Paulo,São Paulo,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
